strn	MC_b	MC_Tmin	MC_cc	MC_Tmax	MC_OGT	MC.RMSE
Colwellia Bg11-12	0.0771314827712829	255.374270095124	0.0822947207676813	300.810952994223	12.6	1.29473140982779e-15
Colwellia Bg11-12	0.0648428827651167	254.108353271721	0.136575280983625	298.044716925432	12.8000000000001	2.10532947806526e-14
Colwellia Bg11-12	0.125935910766675	258.640143184777	0.0341397338487138	305.022691673375	12.8000000000001	9.86787808944854e-16
Colwellia Bg11-12	0.0927440280290191	257.626423844791	0.0770543386201272	299.138869163426	11.6	7.35685079834761e-15
Colwellia Bg11-12	0.113191378890775	258.401170984813	0.0440490655582073	303.360104222325	12.5	9.55049957678547e-16
Colwellia Bg11-12	0.0470792673536536	246.153073995023	0.263512014145587	294.157572332068	12	2.61551202682447e-15
Colwellia Bg11-12	0.481298389101752	263.120064130281	0.0095488555362376	302.803451833907	10.9	5.0876810486276e-16
Colwellia Bg11-12	0.359425208017399	263.539973781543	0.0145914741932727	302.055033352853	11.1	1.21111033586759e-15
Colwellia Bg11-12	0.154576507623701	260.871638797071	0.0317497633153105	303.84952294051	12.6	3.90318795756505e-15
Colwellia Bg11-12	0.136730673312612	260.678852307384	0.0506535818654183	298.83940915262	10.6	6.5681679907166e-16
Colwellia Bg11-12	0.0688855335374943	254.581654864777	0.132165825000884	297.182227752576	12	7.7715611723761e-16
Colwellia Bg11-12	0.0970167038968358	257.673149465905	0.0603356830879901	301.485055449328	12.2	1.69468189731001e-15
Colwellia Bg11-12	0.0896933324997294	254.563403765118	0.0555298311258677	301.752421526059	11.2	4.00296604248672e-16
Colwellia Bg11-12	0.112514634732114	260.160686628744	0.0637947004730486	299.136428178364	11.5	1.91654209187676e-15
Colwellia Bg11-12	0.11352510119807	259.373750206752	0.0590736080262317	299.201677877395	11	1.97045039721498e-15
Colwellia Bg11-12	0.119814107665433	258.564211901053	0.0414743996632805	302.838940628532	12	1.3414875847489e-15
Colwellia Bg11-12	0.0507554891392348	247.791219139131	0.211546120182591	295.468327088979	12.1	7.19506753999772e-16
Colwellia Bg11-12	0.0646500340008423	252.716269918935	0.129975656606186	297.927888603993	12.2	2.48253415324727e-16
Colwellia Bg11-12	0.0578158322428066	251.552703978641	0.131196230229266	300.145755661613	14	1.21111033586759e-15
Colwellia Bg11-12	0.113296620451194	259.800519399788	0.0608082321342968	299.446720492046	11.4	1.51006657275581e-15
Colwellia Bg11-12	0.0786559312646212	256.118576040458	0.089678386985998	300.193305394417	12.7	1.20088981274602e-15
Colwellia Bg11-12	0.0666894334138669	253.19490406109	0.0929173658485958	301.251338717178	13.2	8.23363431556386e-16
Colwellia Bg11-12	0.0830098706601177	257.463372045969	0.103453351928268	298.344039676185	12.3000000000001	5.97873396028182e-16
Colwellia Bg11-12	0.18128080491647	261.42752203144	0.0280405474545492	302.228129123325	11.5	1.43042230579539e-15
Colwellia Bg11-12	0.214351091419536	260.200900981033	0.0187822581047155	305.451470094291	12.1	1.44755372248954e-15
Colwellia Bg11-12	0.120603342983476	259.544600571774	0.0503713818054377	300.694402300363	11.5	9.48574968053509e-16
Colwellia Bg11-12	0.449735919707755	262.919771731729	0.010451589345492	302.358026216177	10.6	2.98524086778079e-15
Colwellia Bg11-12	0.407936632104026	263.824945060847	0.012204077999171	302.850847397715	11.5	1.36426489299396e-15
Colwellia Bg11-12	0.290769846572456	263.516798039776	0.0180636272801317	302.571199900486	11.7	1.92936191434154e-15
Colwellia Bg11-12	0.0961987561518773	258.612207039579	0.0783808748302242	298.843639082103	11.7	4.71027737605132e-16
Colwellia Bg11-12	0.155827376129812	261.935140969574	0.0382731726036981	301.364323940931	11.9	1.18539381111297e-15
Colwellia Bg11-12	0.109442065507983	258.653160307055	0.0535641590228545	301.195947821766	11.8000000000001	2.88016760909234e-15
Colwellia Bg11-12	0.145192976008722	261.799797753007	0.0501325192725866	298.528304038641	10.7	1.62411626795398e-15
Colwellia Bg11-12	0.0624252728827887	253.064859058167	0.148138180498326	297.144574116248	12.3000000000001	5.0876810486276e-16
Colwellia Bg11-12	0.0807479563460373	256.839210667409	0.0988908732424989	298.940535822629	12.4	1.04738230666885e-15
Colwellia Bg11-12	0.103916561690374	257.13491230693	0.0445890046699769	303.743028712558	12.4	1.79362018808454e-15
Colwellia Bg11-12	0.0510636115277695	248.655667242931	0.220463344474747	295.341730715408	12.3000000000001	1.13764006725687e-15
Colwellia Bg11-12	0.0738354949342003	256.842112065247	0.153269930746574	296.425097655978	12.4	1.17494960919044e-15
Colwellia Bg11-12	0.0819059254436855	256.873928276551	0.0950584463519101	298.651818260052	12	2.25350661799788e-15
Colwellia Bg11-12	0.0748748335668688	256.19482783106	0.127731700532961	296.566291574783	11.6	1.29948273372089e-15
Colwellia Bg11-12	0.0557960838005567	250.258717354906	0.148085314550776	298.564858583288	13.1	1.18539381111297e-15
Colwellia Bg11-12	0.13053553953602	258.786978589172	0.0351893578496191	303.305542135991	11.8000000000001	6.84387435941789e-16
Colwellia Bg11-12	0.224932375117501	261.926727153111	0.0218549851422693	302.442942484645	11.3000000000001	1.40871509351487e-15
Colwellia Bg11-12	0.165770950599726	259.202028476975	0.0239335061875441	305.366728477556	12.2	1.74485244536246e-15
Colwellia Bg11-12	0.0826713444950251	256.747230184385	0.102788376290159	297.33750483081	11.3000000000001	2.20093139287048e-15
Colwellia Bg11-12	0.143903933111318	259.161031245882	0.0329885173277357	302.376429864481	11.2	8.08254562088053e-16
Colwellia Bg11-12	0.293163076420538	263.433508374638	0.0185156390542348	301.805328645922	11.2	1.65046518089335e-15
Colwellia Bg11-12	0.24789892623009	263.167688597326	0.0211246436604045	302.311502574184	11.6	1.45180499073994e-15
Colwellia Bg11-12	0.0745214702069786	256.235895481541	0.117841116418356	297.80251735543	12.2	1.26097096004868e-15
Colwellia Bg11-12	0.184792313761979	260.236047944902	0.0219217832928667	305.820743696219	12.6	2.89936183000008e-15
Colwellia Bg11-12	0.0512718411295458	248.644765675862	0.226761577401529	295.739469238387	12.8000000000001	8.08254562088053e-16
Colwellia Bg11-12	0.0666140118916688	254.945416895894	0.180008925672975	295.673858631462	12.3000000000001	2.68914718267043e-14
Colwellia Bg11-12	0.0595739239810781	252.163239167833	0.170088261232866	296.675480340312	12.5	3.33066907387547e-16
Colwellia Bg11-12	0.291471286916261	261.485855216143	0.0142384148348792	304.390388651206	11.5	1.86107291957785e-15
Colwellia Bg11-12	0.0770303539105292	255.831761714376	0.103216384881496	298.30122838523	11.9	9.48574968053509e-16
Colwellia Bg11-12	0.0806660172112731	255.815228813666	0.0826472171686484	299.529140225562	11.8000000000001	2.52438447943028e-15
Colwellia Bg11-12	0.191607404089609	260.450418118305	0.0243232257942869	302.852635959476	11.1	1.46868701148805e-15
Colwellia Bg11-12	0.167332147470798	260.203307247887	0.0241076947037566	306.260219852897	13.1	4.57756679852224e-16
Colwellia Bg11-12	0.0401418392712602	241.55695796352	1.02659614323246	291.538176518964	14.8000000000001	1.22628141165784e-15
Colwellia Bg11-12	0.0693830634033744	256.3007835943	0.203827274619694	294.831156162546	12.3000000000001	2.18406576967323e-15
Colwellia Bg11-12	0.265334869974491	259.996655559987	0.0133396932943927	306.899030370381	12.2	1.39993796698584e-15
Colwellia Bg11-12	0.103089679361867	260.215999200271	0.0915573904351347	296.639105249512	11	1.51414233340151e-15
Colwellia Bg11-12	0.290327524461861	260.555964061617	0.0131234247732938	305.738884644477	11.7	2.29147450354076e-15
Colwellia Bg11-12	0.0894909458902911	257.78135441037	0.0716866364678153	301.157874151191	12.8000000000001	2.6990067472406e-15
Colwellia Bg11-12	0.115820147632565	259.490850855342	0.048560213079525	302.383001501678	12.5	1.05908526550563e-15
Colwellia Bg11-12	0.0866759133514573	257.175313367211	0.0762425408640568	300.460881726881	12.4	1.89064168386892e-15
Colwellia Bg11-12	0.0983785391378123	259.004564514902	0.0805571811630456	298.702549993165	11.8000000000001	7.85046229341888e-16
Colwellia Bg11-12	0.0465587253872097	246.069850269422	0.265328754375812	295.199808190441	13	1.99222399076841e-15
Colwellia Bg11-12	0.222329259399603	262.581609042655	0.0231862451417421	302.657282740843	11.8000000000001	3.22538419224782e-15
Colwellia Bg11-12	0.294245067213219	263.858602209074	0.0212048494788324	299.80823086378	10.4	2.9373740229761e-16
Colwellia Bg11-12	0.132214088997584	259.572300757804	0.0353638520176981	304.023434777822	12.6	1.61269209612391e-15
Colwellia Bg11-12	0.0641548373665783	253.011427392771	0.162729298828828	295.259214260181	11.2	4.71027737605132e-16
Colwellia Bg11-12	0.138551699358166	261.512969761091	0.0491843014131827	299.813573528042	11.5	6.39511591412164e-15
Colwellia Bg11-12	0.19960198688937	261.627107232589	0.0224343264691105	304.628441298416	12.5	1.41743787094347e-15
Colwellia Bg11-12	0.0737073497706115	255.449832590294	0.10427233968759	299.353629232241	12.7	1.37088943652383e-14
Colwellia Bg11-12	0.161025637488951	258.953460654039	0.0251757927961949	305.037250379077	12	1.05908526550563e-15
Colwellia Bg11-12	0.12887277605059	259.844427591705	0.0431203059425422	301.595402191056	11.7	2.22044604925031e-16
Colwellia Bg11-12	0.112037533972294	260.357632551435	0.0582568452642831	300.84298680895	12.4	4.00296604248672e-15
Colwellia Bg11-12	0.154685753394984	261.876794946539	0.0424484262531531	299.783579167428	11.1	1.55034208179849e-15
Colwellia Bg11-12	0.0741113780642894	255.923837800939	0.122160107953468	297.88743044032	12.4	7.48227721802685e-15
Colwellia Bg11-12	0.0587166071928394	252.546036284155	0.213578952957517	295.125527592892	12.4	6.08094194448812e-16
Colwellia Bg11-12	0.0982329018817795	258.665639950728	0.0676907765031069	300.457521144289	12.2	2.85221459309984e-15
Colwellia Bg11-12	0.0796423887185919	257.04664377006	0.108954018890891	297.874883999955	12	1.54113192890727e-14
Colwellia Bg11-12	0.144773054670813	260.200371307753	0.03033216767714	305.958162384798	13.6	3.5108334685767e-16
Colwellia Bg11-12	0.0340115338574987	235.467511991839	0.503985514602686	293.0000914303	13.5	8.15843973306311e-16
Colwellia Bg11-12	0.116941401999083	259.761861337324	0.0497953557723234	301.986640673535	12.4	1.37775054098631e-15
Colwellia Bg11-12	0.0975850170587017	257.806278965166	0.0628014427365444	300.853239682378	12	1.25115780731207e-15
