Clade	b	Tmin	c	Tmax	topt
1	Clade A1	0.0525909519040653	248.051977516685	0.165959890275628	293.864141166213	9.60000000000002
2	Clade A2	0.0793924782066725	256.301541787459	0.113530714396509	291.58901996078	7.05000000000001
3	Clade A3	0.0965620096727827	258.180865980484	0.0707306751080627	299.741609446231	12
4	Clade B1	0.0438350001073255	245.118174516694	0.168010039231684	292.456014605881	8
5	Clade B2	0.0195662137851941	222.262230253203	0.155003222767061	301.024285717205	13.1
6	Clade C	0.0482727113055495	247.801913729224	0.302454296396838	291.847817409545	10.7
