Clade	j	b	Tmin	c	Tmax	topt	resid
114	Clade A1	114	0.102576207803707	256.319208005958	0.0580936113554132	295.55258056373	7.5	1.73066641774521e-15
115	Clade A1	115	0.0193272262381445	208.091822357915	0.223983938503822	294.281681968478	8.5	5.6176078268914e-15
119	Clade A1	119	0.0325355795888344	232.81063856221	0.295821081006377	291.269094092873	9	3.56699643742461e-15
120	Clade A1	120	0.0304982593792089	231.144459667108	0.568553382099446	291.65607828376	12.6	6.84387435941789e-16
132	Clade A1	132	0.0175802470134066	196.863729141563	0.741253099041034	292.395993198042	13.7	2.11817053101126e-15
135	Clade A1	135	0.0562737650981475	246.165050418603	0.127317362485651	293.975736143445	7.69999999999999	5.16134313825038e-15
140	Clade A1	140	0.0676180063393928	257.118052152414	0.225883632877152	293.529624120614	11.8	1.82850058338964e-15
142	Clade A1	142	0.163216567000814	261.233467271048	0.0434960847874985	297.176405775174	9.19999999999999	1.46868701148805e-15
147	Clade A1	147	0.0348231736521903	237.869952785458	0.510756637575988	291.795485142803	12.5	1.15377761183014e-15
149	Clade A1	149	0.076828227580521	255.022682779921	0.0663640883756496	299.198176563789	10.3	4.71027737605132e-16
150	Clade A1	150	0.0259951022977102	222.917362177414	0.322267755213237	292.675237168679	10.3	4.29987528494926e-16
152	Clade A1	152	0.0196381264780775	204.369146546935	0.338517191179023	292.089712238794	9.30000000000001	1.3386016604572e-14
155	Clade A1	155	0.0458970933376121	247.727714686973	0.235294151206706	292.683120896371	10.2	1.18539381111297e-15
156	Clade A1	156	0.119751290183541	257.927920882793	0.0499587232865797	297.023758914775	8.5	1.00534970772086e-15
167	Clade A1	167	0.585059800077257	267.701304353979	0.0172121272279543	294.934352480213	9.10000000000002	9.01949448976587e-16
168	Clade A1	168	0.0468043602877363	246.651938141822	0.209420882397362	293.547924737546	10.2	3.05664380427477e-15
171	Clade A1	171	0.0176967851770377	198.52663644236	0.489349265596819	292.519616831771	11.8	5.76888805915069e-16
175	Clade A1	175	0.115311888462156	261.701951354624	0.0742865971980915	296.312758710219	10.4	1.88083708009239e-15
178	Clade A1	178	0.0939485828351882	257.409298176264	0.0990022526362684	292.220867025191	7.30000000000001	4.32702213391091e-15
179	Clade A1	179	0.0515570354372961	247.676890605045	0.218622539982191	292.582192577049	9.69999999999999	9.51623700466962e-15
180	Clade A1	180	0.0815596121711103	246.786045423794	0.029718221674257	304.471306396943	7.89999999999998	9.48574968053509e-16
186	Clade A1	186	0.0550278397769182	248.857752770315	0.156591483043516	293.59742947427	9	4.47545209131181e-16
187	Clade A1	187	0.0696051895683138	255.086787558087	0.0930275328677985	297.76521084594	10.8	1.14304456355485e-15
188	Clade A1	188	0.0289695759741415	233.276136284869	0.23734253120999	292.981058403115	9.30000000000001	1.65139843806767e-15
189	Clade A1	189	0.0490394827971208	243.671676125481	0.116709256501747	296.249463614166	8.69999999999999	9.01949448976587e-16
190	Clade A1	190	0.0246503519781719	220.586780093022	0.237963420814582	295.159674933898	10.5	3.84592537276713e-16
195	Clade A1	195	0.0333809640917838	237.417731699737	0.604504758589355	291.366249511198	12.7	1.25514137834335e-14
200	Clade A1	200	0.034256955751217	238.362814798759	0.317478448907038	293.626701331053	11.9	2.68985754549827e-15
204	Clade A1	204	0.0569135560168242	252.534804321229	0.286432481085446	292.823240463714	11.7	1.60886601221371e-15
211	Clade A1	211	0.0326621406673236	240.970469505937	0.341008982809121	292.638493164915	11.5	1.66533453693773e-16
217	Clade A1	217	0.035231064664324	238.007196958547	0.225457316865089	294.554579279171	10.8	7.52989890787122e-16
218	Clade A1	218	0.0267301047025749	225.651180674273	0.299344827223155	293.102181024751	10.4	1.46448475105398e-15
221	Clade A1	221	0.020828285428316	203.685825262955	0.209738197865562	296.802858344272	10.1	7.61130558624262e-16
223	Clade A1	223	0.0324843102869512	235.398258231461	0.388896127434081	291.871894173122	11.2	1.1970346188077e-15
227	Clade A1	227	0.0262977108940308	229.211458480384	0.45784195489141	290.521753238758	10.4	7.62687664095313e-15
228	Clade A1	228	0.0538424858510897	249.508703927324	0.355753555284415	291.213157188476	10.9	5.20740757162067e-16
230	Clade A1	230	0.0281331569198984	229.615703115438	0.405947919295057	292.617284453245	11.8	2.24803028762339e-15
233	Clade A1	233	0.0281686548637962	231.546487694682	0.531667514369221	292.256252314246	12.9	1.01753620972552e-15
234	Clade A1	234	0.0308800039040146	236.208841843503	0.371704637906857	293.295958228409	12.3	1.5740127955197e-15
242	Clade A1	242	0.0467142676034085	247.1133151908	0.128581678838168	296.927230878282	10.4	1.92296268638356e-16
249	Clade A1	249	0.02035548681135	206.287140993777	0.223529121817952	295.485941878552	9.5	7.19506753999772e-16
250	Clade A1	250	0.0558541600468961	248.62173013384	0.159490164033754	295.870200797232	11	5.76888805915069e-16
260	Clade A1	260	0.259260401079529	260.733124033717	0.018052513462448	301.004730995769	9.60000000000002	2.01682028018013e-15
268	Clade A1	268	0.0330202532432729	238.27160504212	0.627831767469295	292.202103561482	13.7	5.01693066099263e-15
269	Clade A1	269	0.0733012052012923	255.721635974097	0.156320842769354	293.962458068768	10.3	4.88624276255076e-15
272	Clade A1	272	0.080911320525644	251.883669181023	0.0702639576347985	295.320170134168	6.89999999999998	1.01298345216964e-15
273	Clade A1	273	0.032207591428316	234.937441630306	0.337661238458411	292.392074811714	10.9	2.67607509334277e-15
275	Clade A1	275	0.105217697769305	254.146018970077	0.0375586531288255	299.714370736469	8.10000000000002	8.45520665245115e-16
277	Clade A1	277	0.0437091432462795	241.548473000778	0.348743553458687	291.643375415048	10.7	3.72917617476452e-15
283	Clade A1	283	0.059189982429076	243.426339705745	0.0598349762014865	299.598317390317	7.19999999999999	1.38666811331198e-15
285	Clade A1	285	0.0472955178053913	245.599801484961	0.173616704988327	294.222957559165	9.69999999999999	7.92857827008092e-16
286	Clade A1	286	0.139268334178291	257.149254787007	0.0349933889969016	297.750779333363	7.60000000000002	1.57792339234318e-15
287	Clade A1	287	0.0682572855377445	254.085641960733	0.13785705404536	294.483428587461	9.89999999999998	1.05325004057301e-15
291	Clade A1	291	0.0490667280797734	246.236257764323	0.203056400579581	292.827516931958	9.39999999999998	1.71636314424853e-15
293	Clade A1	293	0.0530167457178421	248.161571335057	0.177746048271065	294.783107364703	10.6	2.9373740229761e-16
